Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Annedalsskolan F-6;5;Flicka;Grundskola;2026;2;93310;73520;14840;14405;435;4950
Annedalsskolan F-6;5;Pojke;Grundskola;2026;2;85575;72019;9111;8885;226;4445
Annedalsskolan F-6;5;Pojke;Grundskola;2026;3;115705;99234;6056;5980;76;10415
Annedalsskolan F-6;5;Flicka;Grundskola;2026;3;126300;99010;15670;15280;390;11620
Annedalsskolan F-6;5;Pojke;Grundskola;2026;4;12130;7540;1050;1050;0;3540
Annedalsskolan F-6;5;Flicka;Grundskola;2026;4;12650;8150;830;770;60;3670
Annedalsskolan F-6;6;Pojke;Grundskola;2025;8;71295;57860;2665;2645;20;10770
Annedalsskolan F-6;6;Flicka;Grundskola;2025;8;57290;47630;880;875;5;8780
Annedalsskolan F-6;6;Flicka;Grundskola;2025;9;123755;110325;9460;8650;810;3970
Annedalsskolan F-6;6;Pojke;Grundskola;2025;9;149070;130230;13180;12335;845;5660
Annedalsskolan F-6;6;Flicka;Grundskola;2025;10;112320;95295;11355;10225;1130;5670
Annedalsskolan F-6;6;Pojke;Grundskola;2025;10;128185;109736;11914;11080;834;6535
Annedalsskolan F-6;6;Flicka;Grundskola;2025;11;122790;101700;15550;14415;1135;5540
Annedalsskolan F-6;6;Pojke;Grundskola;2025;11;134820;118054;10726;9262;1464;6040
Annedalsskolan F-6;6;Flicka;Grundskola;2025;12;87935;65573;7962;6876;1086;14400
Annedalsskolan F-6;6;Pojke;Grundskola;2025;12;96780;69878;11502;10103;1399;15400
Annedalsskolan F-6;6;Flicka;Grundskola;2026;1;102585;67150;12505;12290;215;22930
Annedalsskolan F-6;6;Pojke;Grundskola;2026;1;109035;74310;11605;10910;695;23120
Annedalsskolan F-6;6;Flicka;Grundskola;2026;2;82090;53509;7931;7365;566;20650
Annedalsskolan F-6;6;Pojke;Grundskola;2026;2;87375;59733;6837;6260;577;20805
Annedalsskolan F-6;6;Flicka;Grundskola;2026;3;110895;74753;10807;10070;737;25335
Annedalsskolan F-6;6;Pojke;Grundskola;2026;3;117815;81424;10696;10275;421;25695
Annedalsskolan F-6;6;Pojke;Grundskola;2026;4;12980;9660;2870;2670;200;450
Annedalsskolan F-6;6;Flicka;Grundskola;2026;4;11665;8330;2795;2735;60;540
Askimsskolan F-6;0;Flicka;Grundskola;2025;8;23500;21605;1095;1095;0;800
Askimsskolan F-6;0;Pojke;Grundskola;2025;8;25850;24110;860;860;0;880
Askimsskolan F-6;0;Flicka;Grundskola;2025;9;54285;48955;5330;5250;80;0
Askimsskolan F-6;0;Pojke;Grundskola;2025;9;54285;50474;3811;3760;51;0
Askimsskolan F-6;0;Flicka;Grundskola;2025;10;49115;39445;1915;1880;35;7755
Askimsskolan F-6;0;Pojke;Grundskola;2025;10;49115;38070;3290;3290;0;7755
Askimsskolan F-6;0;Flicka;Grundskola;2025;11;54285;48985;5300;4935;365;0
Askimsskolan F-6;0;Pojke;Grundskola;2025;11;59220;55465;3520;3445;75;235
Askimsskolan F-6;0;Flicka;Grundskola;2025;12;38775;24800;3635;3525;110;10340
Askimsskolan F-6;0;Pojke;Grundskola;2025;12;42300;27935;3085;3055;30;11280
Askimsskolan F-6;0;Pojke;Grundskola;2026;1;47940;41755;6185;6185;0;0
Askimsskolan F-6;0;Flicka;Grundskola;2026;1;47940;43115;4825;4700;125;0
Askimsskolan F-6;0;Flicka;Grundskola;2026;2;39480;36415;3065;2990;75;0
Askimsskolan F-6;0;Pojke;Grundskola;2026;2;39480;36665;2815;2815;0;0
Askimsskolan F-6;0;Pojke;Grundskola;2026;3;53580;40790;4330;4230;100;8460
Askimsskolan F-6;0;Flicka;Grundskola;2026;3;53580;40775;4345;4195;150;8460
Askimsskolan F-6;0;Flicka;Grundskola;2026;4;5640;5060;580;550;30;0
Askimsskolan F-6;0;Pojke;Grundskola;2026;4;5640;5170;470;470;0;0
Askimsskolan F-6;1;Pojke;Grundskola;2025;8;22760;20230;1110;1100;10;1420
Askimsskolan F-6;1;Flicka;Grundskola;2025;8;29330;26450;1190;1180;10;1690
Askimsskolan F-6;1;Flicka;Grundskola;2025;9;67960;64665;2200;1915;285;1095
Askimsskolan F-6;1;Pojke;Grundskola;2025;9;53620;49495;3315;3175;140;810
Askimsskolan F-6;1;Pojke;Grundskola;2025;10;43460;37340;5610;5490;120;510
Askimsskolan F-6;1;Flicka;Grundskola;2025;10;56510;49315;6610;6460;150;585
Askimsskolan F-6;1;Pojke;Grundskola;2025;11;42390;37510;4280;4080;200;600
Askimsskolan F-6;1;Flicka;Grundskola;2025;11;64820;62195;1665;1460;205;960
Askimsskolan F-6;1;Flicka;Grundskola;2025;12;47775;44330;2555;2270;285;890
Askimsskolan F-6;1;Pojke;Grundskola;2025;12;30825;27425;2935;2925;10;465
Askimsskolan F-6;1;Pojke;Grundskola;2026;1;34905;31005;3495;3380;115;405
Askimsskolan F-6;1;Flicka;Grundskola;2026;1;54650;49905;4055;3470;585;690
Askimsskolan F-6;1;Flicka;Grundskola;2026;2;45150;40330;3350;2920;430;1470
Askimsskolan F-6;1;Pojke;Grundskola;2026;2;28755;25665;2145;1995;150;945
Askimsskolan F-6;1;Pojke;Grundskola;2026;3;38790;35585;2530;2450;80;675
Askimsskolan F-6;1;Flicka;Grundskola;2026;3;61000;56784;3106;2800;306;1110
Askimsskolan F-6;1;Flicka;Grundskola;2026;4;6290;5525;705;680;25;60
Askimsskolan F-6;1;Pojke;Grundskola;2026;4;4005;3325;680;680;0;0
Askimsskolan F-6;2;Flicka;Grundskola;2025;8;29640;24135;4985;2900;2085;520
Askimsskolan F-6;2;Pojke;Grundskola;2025;8;27360;25960;920;920;0;480
Askimsskolan F-6;2;Flicka;Grundskola;2025;9;57240;49965;6555;6470;85;720
Askimsskolan F-6;2;Pojke;Grundskola;2025;9;57360;53980;2420;2305;115;960
Askimsskolan F-6;2;Pojke;Grundskola;2025;10;56945;51255;2025;2015;10;3665
Askimsskolan F-6;2;Flicka;Grundskola;2025;10;52380;44385;4575;4430;145;3420
Askimsskolan F-6;2;Pojke;Grundskola;2025;11;62620;56030;4905;4780;125;1685
Askimsskolan F-6;2;Flicka;Grundskola;2025;11;57600;51250;4850;4580;270;1500
Askimsskolan F-6;2;Flicka;Grundskola;2025;12;42180;35950;4720;4600;120;1510
Askimsskolan F-6;2;Pojke;Grundskola;2025;12;46485;44175;600;570;30;1710
Askimsskolan F-6;2;Pojke;Grundskola;2026;1;54355;47910;4640;4610;30;1805
Askimsskolan F-6;2;Flicka;Grundskola;2026;1;49120;41265;6295;6090;205;1560
Askimsskolan F-6;2;Flicka;Grundskola;2026;2;40460;34455;5225;5105;120;780
Askimsskolan F-6;2;Pojke;Grundskola;2026;2;44735;38445;5510;5510;0;780
Askimsskolan F-6;2;Pojke;Grundskola;2026;3;61205;48289;6471;6455;16;6445
Askimsskolan F-6;2;Flicka;Grundskola;2026;3;55130;44426;4814;4680;134;5890
Askimsskolan F-6;2;Pojke;Grundskola;2026;4;6410;1170;80;80;0;5160
Askimsskolan F-6;2;Flicka;Grundskola;2026;4;5750;980;80;80;0;4690
Askimsskolan F-6;3;Pojke;Grundskola;2025;8;30060;25820;1600;1325;275;2640
Askimsskolan F-6;3;Flicka;Grundskola;2025;8;23880;20230;1450;1450;0;2200
Askimsskolan F-6;3;Flicka;Grundskola;2025;9;52190;43385;5095;4975;120;3710
Askimsskolan F-6;3;Pojke;Grundskola;2025;9;65940;59120;2440;2200;240;4380
Askimsskolan F-6;3;Pojke;Grundskola;2025;10;58905;49145;6860;6640;220;2900
Askimsskolan F-6;3;Flicka;Grundskola;2025;10;46785;40315;3430;3370;60;3040
Askimsskolan F-6;3;Pojke;Grundskola;2025;11;61715;54220;4005;3830;175;3490
Askimsskolan F-6;3;Flicka;Grundskola;2025;11;50685;44130;3375;3375;0;3180
Askimsskolan F-6;3;Flicka;Grundskola;2025;12;36385;31370;1900;1900;0;3115
Askimsskolan F-6;3;Pojke;Grundskola;2025;12;43200;37995;1720;1720;0;3485
Askimsskolan F-6;3;Pojke;Grundskola;2026;1;48840;39930;4535;4400;135;4375
Askimsskolan F-6;3;Flicka;Grundskola;2026;1;41925;33575;4860;4860;0;3490
Askimsskolan F-6;3;Flicka;Grundskola;2026;2;34150;29180;4160;4055;105;810
Askimsskolan F-6;3;Pojke;Grundskola;2026;2;39420;35325;3195;3195;0;900
Askimsskolan F-6;3;Pojke;Grundskola;2026;3;55855;47405;4535;4535;0;3915
Askimsskolan F-6;3;Flicka;Grundskola;2026;3;47250;41555;2645;2645;0;3050
Askimsskolan F-6;3;Flicka;Grundskola;2026;4;4665;3780;635;635;0;250
Askimsskolan F-6;3;Pojke;Grundskola;2026;4;5800;5345;130;130;0;325
Askimsskolan F-6;4;Pojke;Grundskola;2025;8;93040;81060;9825;9530;295;2155
Askimsskolan F-6;4;Flicka;Grundskola;2025;8;69940;65795;2180;2180;0;1965
Askimsskolan F-6;4;Flicka;Grundskola;2025;9;162430;142260;12345;12285;60;7825
Askimsskolan F-6;4;Pojke;Grundskola;2025;9;207345;182180;14850;14710;140;10315
Askimsskolan F-6;4;Flicka;Grundskola;2025;10;145760;133370;8830;8750;80;3560
Askimsskolan F-6;4;Pojke;Grundskola;2025;10;185930;162185;19805;19145;660;3940
Askimsskolan F-6;4;Pojke;Grundskola;2025;11;202390;182662;16008;15735;273;3720
Askimsskolan F-6;4;Flicka;Grundskola;2025;11;159530;144730;11140;11140;0;3660
Askimsskolan F-6;4;Flicka;Grundskola;2025;12;113565;103390;8205;8205;0;1970
Askimsskolan F-6;4;Pojke;Grundskola;2025;12;143955;129825;12050;11805;245;2080
Askimsskolan F-6;4;Flicka;Grundskola;2026;1;128740;111740;12845;12785;60;4155
